FID_1,NL_NAME_3,FID_2
0,金山区,4
1,金山区,4
2,金山区,4
3,金山区,4
4,金山区,4
5,金山区,4
6,金山区,4
7,金山区,4
8,金山区,4
9,金山区,4
10,金山区,4
11,金山区,4
12,金山区,4
13,金山区,4
14,金山区,4
15,金山区,4
16,金山区,4
17,金山区,4
18,金山区,4
19,金山区,4
20,金山区,4
21,金山区,4
22,金山区,4
23,金山区,4
24,金山区,4
25,金山区,4
26,金山区,4
27,金山区,4
28,金山区,4
29,金山区,4
30,金山区,4
31,金山区,4
32,金山区,4
33,金山区,4
34,金山区,4
35,金山区,4
36,金山区,4
37,金山区,4
38,金山区,4
39,金山区,4
40,金山区,4
41,金山区,4
42,金山区,4
43,金山区,4
44,金山区,4
45,金山区,4
46,金山区,4
47,金山区,4
48,金山区,4
49,金山区,4
50,金山区,4
51,金山区,4
52,金山区,4
53,金山区,4
54,金山区,4
55,金山区,4
56,金山区,4
57,金山区,4
58,金山区,4
59,金山区,4
60,金山区,4
61,金山区,4
62,金山区,4
63,金山区,4
64,金山区,4
65,金山区,4
66,金山区,4
67,金山区,4
68,金山区,4
69,金山区,4
70,金山区,4
71,金山区,4
72,金山区,4
73,金山区,4
74,金山区,4
75,金山区,4
76,金山区,4
77,金山区,4
78,金山区,4
79,金山区,4
80,金山区,4
81,金山区,4
82,金山区,4
83,金山区,4
84,金山区,4
85,金山区,4
86,金山区,4
87,金山区,4
88,金山区,4
89,金山区,4
90,金山区,4
91,金山区,4
92,金山区,4
93,金山区,4
94,金山区,4
95,金山区,4
96,金山区,4
97,金山区,4
98,金山区,4
99,金山区,4
100,金山区,4
101,金山区,4
102,金山区,4
103,金山区,4
104,金山区,4
105,金山区,4
106,金山区,4
107,金山区,4
108,金山区,4
109,金山区,4
110,金山区,4
111,金山区,4
112,金山区,4
113,金山区,4
114,金山区,4
115,金山区,4
116,金山区,4
117,金山区,4
118,金山区,4
119,金山区,4
120,金山区,4
121,金山区,4
122,金山区,4
123,金山区,4
124,金山区,4
125,金山区,4
126,金山区,4
127,金山区,4
128,金山区,4
129,金山区,4
130,金山区,4
131,金山区,4
132,金山区,4
133,金山区,4
134,金山区,4
135,金山区,4
136,金山区,4
137,金山区,4
138,金山区,4
139,金山区,4
140,金山区,4
141,金山区,4
142,金山区,4
143,金山区,4
144,金山区,4
145,金山区,4
146,金山区,4
147,金山区,4
148,金山区,4
149,金山区,4
150,金山区,4
151,金山区,4
152,金山区,4
153,金山区,4
154,金山区,4
155,金山区,4
156,金山区,4
157,金山区,4
158,金山区,4
159,金山区,4
160,金山区,4
161,金山区,4
162,金山区,4
163,金山区,4
164,金山区,4
165,金山区,4
166,金山区,4
167,金山区,4
168,金山区,4
169,金山区,4
170,金山区,4
171,金山区,4
172,金山区,4
173,金山区,4
174,金山区,4
175,金山区,4
176,金山区,4
177,金山区,4
178,金山区,4
179,金山区,4
180,金山区,4
181,金山区,4
182,金山区,4
183,金山区,4
184,,0
185,,0
186,奉贤区,2
187,金山区,4
188,金山区,4
189,金山区,4
190,金山区,4
191,金山区,4
192,金山区,4
193,金山区,4
194,金山区,4
195,金山区,4
196,金山区,4
197,金山区,4
198,金山区,4
199,金山区,4
200,金山区,4
201,金山区,4
202,金山区,4
203,金山区,4
204,金山区,4
205,金山区,4
206,金山区,4
207,金山区,4
208,金山区,4
209,金山区,4
210,金山区,4
211,金山区,4
212,金山区,4
213,金山区,4
214,金山区,4
215,金山区,4
216,金山区,4
217,金山区,4
218,,0
219,奉贤区,2
220,奉贤区,2
221,奉贤区,2
222,奉贤区,2
223,金山区,4
224,金山区,4
225,金山区,4
226,金山区,4
227,金山区,4
228,金山区,4
229,金山区,4
230,金山区,4
231,金山区,4
232,金山区,4
233,金山区,4
234,金山区,4
235,金山区,4
236,金山区,4
237,金山区,4
238,金山区,4
239,金山区,4
240,金山区,4
241,金山区,4
242,金山区,4
243,金山区,4
244,金山区,4
245,金山区,4
246,金山区,4
247,金山区,4
248,金山区,4
249,金山区,4
250,金山区,4
251,金山区,4
252,金山区,4
253,,0
254,,0
255,奉贤区,2
256,奉贤区,2
257,奉贤区,2
258,奉贤区,2
259,金山区,4
260,金山区,4
261,金山区,4
262,金山区,4
263,金山区,4
264,金山区,4
265,金山区,4
266,金山区,4
267,金山区,4
268,金山区,4
