AllgridID,longitude,latitude,x,y
1,1.208579e+02,3.056779e+01,1,1
2,1.208683e+02,3.056773e+01,2,1
3,1.208787e+02,3.056766e+01,3,1
4,1.208891e+02,3.056758e+01,4,1
5,1.208996e+02,3.056751e+01,5,1
6,1.209100e+02,3.056744e+01,6,1
7,1.209204e+02,3.056737e+01,7,1
8,1.209308e+02,3.056729e+01,8,1
9,1.209413e+02,3.056722e+01,9,1
10,1.209517e+02,3.056714e+01,10,1
11,1.209621e+02,3.056707e+01,11,1
12,1.209725e+02,3.056699e+01,12,1
13,1.209829e+02,3.056691e+01,13,1
14,1.209934e+02,3.056683e+01,14,1
15,1.210038e+02,3.056675e+01,15,1
16,1.210142e+02,3.056667e+01,16,1
17,1.210246e+02,3.056659e+01,17,1
18,1.210351e+02,3.056651e+01,18,1
19,1.210455e+02,3.056642e+01,19,1
20,1.210559e+02,3.056634e+01,20,1
21,1.210663e+02,3.056625e+01,21,1
22,1.210767e+02,3.056617e+01,22,1
23,1.210872e+02,3.056608e+01,23,1
24,1.210976e+02,3.056599e+01,24,1
25,1.211080e+02,3.056591e+01,25,1
26,1.211184e+02,3.056582e+01,26,1
27,1.211289e+02,3.056573e+01,27,1
28,1.211393e+02,3.056564e+01,28,1
29,1.211497e+02,3.056554e+01,29,1
30,1.211601e+02,3.056545e+01,30,1
31,1.211705e+02,3.056536e+01,31,1
32,1.211810e+02,3.056526e+01,32,1
33,1.211914e+02,3.056517e+01,33,1
34,1.212018e+02,3.056507e+01,34,1
35,1.212122e+02,3.056498e+01,35,1
36,1.212226e+02,3.056488e+01,36,1
37,1.212331e+02,3.056478e+01,37,1
38,1.212435e+02,3.056468e+01,38,1
39,1.212539e+02,3.056458e+01,39,1
40,1.212643e+02,3.056448e+01,40,1
41,1.212747e+02,3.056438e+01,41,1
42,1.212852e+02,3.056428e+01,42,1
43,1.212956e+02,3.056417e+01,43,1
44,1.213060e+02,3.056407e+01,44,1
45,1.213164e+02,3.056397e+01,45,1
46,1.213269e+02,3.056386e+01,46,1
47,1.213373e+02,3.056375e+01,47,1
48,1.213477e+02,3.056365e+01,48,1
49,1.213581e+02,3.056354e+01,49,1
50,1.213685e+02,3.056343e+01,50,1
51,1.213790e+02,3.056332e+01,51,1
52,1.213894e+02,3.056321e+01,52,1
53,1.213998e+02,3.056310e+01,53,1
54,1.214102e+02,3.056298e+01,54,1
55,1.214206e+02,3.056287e+01,55,1
56,1.214311e+02,3.056276e+01,56,1
57,1.214415e+02,3.056264e+01,57,1
58,1.214519e+02,3.056252e+01,58,1
59,1.214623e+02,3.056241e+01,59,1
60,1.214727e+02,3.056229e+01,60,1
61,1.214832e+02,3.056217e+01,61,1
62,1.214936e+02,3.056205e+01,62,1
63,1.215040e+02,3.056193e+01,63,1
64,1.215144e+02,3.056181e+01,64,1
65,1.215248e+02,3.056169e+01,65,1
66,1.215353e+02,3.056157e+01,66,1
67,1.215457e+02,3.056145e+01,67,1
68,1.215561e+02,3.056132e+01,68,1
69,1.215665e+02,3.056120e+01,69,1
70,1.215769e+02,3.056107e+01,70,1
71,1.215873e+02,3.056094e+01,71,1
72,1.215978e+02,3.056082e+01,72,1
73,1.216082e+02,3.056069e+01,73,1
74,1.216186e+02,3.056056e+01,74,1
75,1.216290e+02,3.056043e+01,75,1
76,1.216394e+02,3.056030e+01,76,1
77,1.216499e+02,3.056017e+01,77,1
78,1.216603e+02,3.056003e+01,78,1
79,1.216707e+02,3.055990e+01,79,1
80,1.216811e+02,3.055977e+01,80,1
81,1.216915e+02,3.055963e+01,81,1
82,1.217020e+02,3.055950e+01,82,1
83,1.217124e+02,3.055936e+01,83,1
84,1.217228e+02,3.055922e+01,84,1
85,1.217332e+02,3.055908e+01,85,1
86,1.217436e+02,3.055894e+01,86,1
87,1.217540e+02,3.055880e+01,87,1
88,1.217645e+02,3.055866e+01,88,1
89,1.217749e+02,3.055852e+01,89,1
90,1.217853e+02,3.055838e+01,90,1
91,1.217957e+02,3.055824e+01,91,1
92,1.218061e+02,3.055809e+01,92,1
93,1.218166e+02,3.055795e+01,93,1
94,1.218270e+02,3.055780e+01,94,1
95,1.218374e+02,3.055765e+01,95,1
96,1.218478e+02,3.055751e+01,96,1
97,1.218582e+02,3.055736e+01,97,1
98,1.218686e+02,3.055721e+01,98,1
99,1.218791e+02,3.055706e+01,99,1
100,1.218895e+02,3.055691e+01,100,1
101,1.218999e+02,3.055676e+01,101,1
102,1.219103e+02,3.055661e+01,102,1
103,1.219207e+02,3.055645e+01,103,1
104,1.219311e+02,3.055630e+01,104,1
105,1.219416e+02,3.055614e+01,105,1
106,1.219520e+02,3.055599e+01,106,1
107,1.219624e+02,3.055583e+01,107,1
108,1.219728e+02,3.055567e+01,108,1
109,1.219832e+02,3.055551e+01,109,1
110,1.219936e+02,3.055536e+01,110,1
111,1.220041e+02,3.055520e+01,111,1
112,1.220145e+02,3.055503e+01,112,1
113,1.220249e+02,3.055487e+01,113,1
114,1.220353e+02,3.055471e+01,114,1
115,1.220457e+02,3.055455e+01,115,1
116,1.220561e+02,3.055438e+01,116,1
117,1.220665e+02,3.055422e+01,117,1
118,1.220770e+02,3.055405e+01,118,1
119,1.220874e+02,3.055389e+01,119,1
120,1.220978e+02,3.055372e+01,120,1
121,1.221082e+02,3.055355e+01,121,1
122,1.221186e+02,3.055338e+01,122,1
123,1.221290e+02,3.055321e+01,123,1
124,1.221395e+02,3.055304e+01,124,1
125,1.221499e+02,3.055287e+01,125,1
126,1.221603e+02,3.055270e+01,126,1
127,1.221707e+02,3.055252e+01,127,1
128,1.221811e+02,3.055235e+01,128,1
129,1.221915e+02,3.055217e+01,129,1
130,1.222019e+02,3.055200e+01,130,1
131,1.222124e+02,3.055182e+01,131,1
132,1.222228e+02,3.055164e+01,132,1
133,1.208580e+02,3.057681e+01,1,2
134,1.208684e+02,3.057674e+01,2,2
135,1.208788e+02,3.057667e+01,3,2
136,1.208892e+02,3.057660e+01,4,2
137,1.208996e+02,3.057653e+01,5,2
138,1.209101e+02,3.057646e+01,6,2
139,1.209205e+02,3.057639e+01,7,2
140,1.209309e+02,3.057631e+01,8,2
141,1.209413e+02,3.057624e+01,9,2
142,1.209518e+02,3.057616e+01,10,2
143,1.209622e+02,3.057608e+01,11,2
144,1.209726e+02,3.057601e+01,12,2
145,1.209830e+02,3.057593e+01,13,2
146,1.209935e+02,3.057585e+01,14,2
147,1.210039e+02,3.057577e+01,15,2
148,1.210143e+02,3.057569e+01,16,2
149,1.210247e+02,3.057561e+01,17,2
150,1.210351e+02,3.057552e+01,18,2
151,1.210456e+02,3.057544e+01,19,2
152,1.210560e+02,3.057536e+01,20,2
153,1.210664e+02,3.057527e+01,21,2
154,1.210768e+02,3.057519e+01,22,2
155,1.210873e+02,3.057510e+01,23,2
156,1.210977e+02,3.057501e+01,24,2
157,1.211081e+02,3.057492e+01,25,2
158,1.211185e+02,3.057484e+01,26,2
159,1.211290e+02,3.057475e+01,27,2
160,1.211394e+02,3.057465e+01,28,2
161,1.211498e+02,3.057456e+01,29,2
162,1.211602e+02,3.057447e+01,30,2
163,1.211706e+02,3.057438e+01,31,2
164,1.211811e+02,3.057428e+01,32,2
165,1.211915e+02,3.057419e+01,33,2
166,1.212019e+02,3.057409e+01,34,2
167,1.212123e+02,3.057400e+01,35,2
168,1.212228e+02,3.057390e+01,36,2
169,1.212332e+02,3.057380e+01,37,2
170,1.212436e+02,3.057370e+01,38,2
171,1.212540e+02,3.057360e+01,39,2
172,1.212644e+02,3.057350e+01,40,2
173,1.212749e+02,3.057340e+01,41,2
174,1.212853e+02,3.057330e+01,42,2
175,1.212957e+02,3.057319e+01,43,2
176,1.213061e+02,3.057309e+01,44,2
177,1.213166e+02,3.057298e+01,45,2
178,1.213270e+02,3.057288e+01,46,2
179,1.213374e+02,3.057277e+01,47,2
180,1.213478e+02,3.057266e+01,48,2
181,1.213582e+02,3.057255e+01,49,2
182,1.213687e+02,3.057245e+01,50,2
183,1.213791e+02,3.057234e+01,51,2
184,1.213895e+02,3.057222e+01,52,2
185,1.213999e+02,3.057211e+01,53,2
186,1.214103e+02,3.057200e+01,54,2
187,1.214208e+02,3.057189e+01,55,2
188,1.214312e+02,3.057177e+01,56,2
189,1.214416e+02,3.057166e+01,57,2
190,1.214520e+02,3.057154e+01,58,2
191,1.214624e+02,3.057143e+01,59,2
192,1.214729e+02,3.057131e+01,60,2
193,1.214833e+02,3.057119e+01,61,2
194,1.214937e+02,3.057107e+01,62,2
195,1.215041e+02,3.057095e+01,63,2
196,1.215146e+02,3.057083e+01,64,2
197,1.215250e+02,3.057071e+01,65,2
198,1.215354e+02,3.057059e+01,66,2
199,1.215458e+02,3.057046e+01,67,2
200,1.215562e+02,3.057034e+01,68,2
201,1.215667e+02,3.057021e+01,69,2
202,1.215771e+02,3.057009e+01,70,2
203,1.215875e+02,3.056996e+01,71,2
204,1.215979e+02,3.056983e+01,72,2
205,1.216083e+02,3.056970e+01,73,2
206,1.216188e+02,3.056958e+01,74,2
207,1.216292e+02,3.056945e+01,75,2
208,1.216396e+02,3.056931e+01,76,2
209,1.216500e+02,3.056918e+01,77,2
210,1.216604e+02,3.056905e+01,78,2
211,1.216709e+02,3.056892e+01,79,2
212,1.216813e+02,3.056878e+01,80,2
213,1.216917e+02,3.056865e+01,81,2
214,1.217021e+02,3.056851e+01,82,2
215,1.217125e+02,3.056838e+01,83,2
216,1.217230e+02,3.056824e+01,84,2
217,1.217334e+02,3.056810e+01,85,2
218,1.217438e+02,3.056796e+01,86,2
219,1.217542e+02,3.056782e+01,87,2
220,1.217646e+02,3.056768e+01,88,2
221,1.217750e+02,3.056754e+01,89,2
222,1.217855e+02,3.056740e+01,90,2
223,1.217959e+02,3.056725e+01,91,2
224,1.218063e+02,3.056711e+01,92,2
225,1.218167e+02,3.056696e+01,93,2
226,1.218271e+02,3.056682e+01,94,2
227,1.218376e+02,3.056667e+01,95,2
228,1.218480e+02,3.056652e+01,96,2
229,1.218584e+02,3.056637e+01,97,2
230,1.218688e+02,3.056623e+01,98,2
231,1.218792e+02,3.056608e+01,99,2
232,1.218896e+02,3.056592e+01,100,2
233,1.219001e+02,3.056577e+01,101,2
234,1.219105e+02,3.056562e+01,102,2
235,1.219209e+02,3.056547e+01,103,2
236,1.219313e+02,3.056531e+01,104,2
237,1.219417e+02,3.056516e+01,105,2
238,1.219522e+02,3.056500e+01,106,2
239,1.219626e+02,3.056485e+01,107,2
240,1.219730e+02,3.056469e+01,108,2
241,1.219834e+02,3.056453e+01,109,2
242,1.219938e+02,3.056437e+01,110,2
243,1.220042e+02,3.056421e+01,111,2
244,1.220147e+02,3.056405e+01,112,2
245,1.220251e+02,3.056389e+01,113,2
246,1.220355e+02,3.056373e+01,114,2
247,1.220459e+02,3.056356e+01,115,2
248,1.220563e+02,3.056340e+01,116,2
249,1.220667e+02,3.056323e+01,117,2
250,1.220772e+02,3.056307e+01,118,2
251,1.220876e+02,3.056290e+01,119,2
252,1.220980e+02,3.056273e+01,120,2
253,1.221084e+02,3.056256e+01,121,2
254,1.221188e+02,3.056240e+01,122,2
255,1.221292e+02,3.056223e+01,123,2
256,1.221397e+02,3.056205e+01,124,2
257,1.221501e+02,3.056188e+01,125,2
258,1.221605e+02,3.056171e+01,126,2
259,1.221709e+02,3.056154e+01,127,2
260,1.221813e+02,3.056136e+01,128,2
261,1.221917e+02,3.056119e+01,129,2
262,1.222021e+02,3.056101e+01,130,2
263,1.222126e+02,3.056084e+01,131,2
264,1.222230e+02,3.056066e+01,132,2
265,1.208580e+02,3.058583e+01,1,3
266,1.208685e+02,3.058576e+01,2,3
267,1.208789e+02,3.058569e+01,3,3
268,1.208893e+02,3.058562e+01,4,3
269,1.208997e+02,3.058555e+01,5,3
270,1.209102e+02,3.058548e+01,6,3
271,1.209206e+02,3.058541e+01,7,3
272,1.209310e+02,3.058533e+01,8,3
273,1.209414e+02,3.058526e+01,9,3
274,1.209519e+02,3.058518e+01,10,3
275,1.209623e+02,3.058510e+01,11,3
276,1.209727e+02,3.058503e+01,12,3
277,1.209831e+02,3.058495e+01,13,3
278,1.209935e+02,3.058487e+01,14,3
279,1.210040e+02,3.058479e+01,15,3
280,1.210144e+02,3.058471e+01,16,3
281,1.210248e+02,3.058463e+01,17,3
282,1.210352e+02,3.058454e+01,18,3
283,1.210457e+02,3.058446e+01,19,3
284,1.210561e+02,3.058438e+01,20,3
285,1.210665e+02,3.058429e+01,21,3
286,1.210769e+02,3.058421e+01,22,3
287,1.210874e+02,3.058412e+01,23,3
288,1.210978e+02,3.058403e+01,24,3
289,1.211082e+02,3.058394e+01,25,3
290,1.211186e+02,3.058385e+01,26,3
291,1.211291e+02,3.058376e+01,27,3
292,1.211395e+02,3.058367e+01,28,3
293,1.211499e+02,3.058358e+01,29,3
294,1.211603e+02,3.058349e+01,30,3
295,1.211708e+02,3.058340e+01,31,3
296,1.211812e+02,3.058330e+01,32,3
297,1.211916e+02,3.058321e+01,33,3
298,1.212020e+02,3.058311e+01,34,3
299,1.212124e+02,3.058301e+01,35,3
300,1.212229e+02,3.058292e+01,36,3
301,1.212333e+02,3.058282e+01,37,3
302,1.212437e+02,3.058272e+01,38,3
303,1.212541e+02,3.058262e+01,39,3
