FID_1,MEAN,longitude,latitude,x,y
0,0,1.217033e+02,3.055765e+01,82,1
1,0,1.217118e+02,3.056727e+01,83,2
2,0,1.217202e+02,3.057183e+01,84,2
3,0,1.215688e+02,3.058005e+01,69,3
4,0,1.217174e+02,3.057316e+01,83,3
5,0,1.217231e+02,3.057474e+01,84,3
6,0,1.215704e+02,3.058377e+01,69,4
7,0,1.217278e+02,3.058509e+01,84,4
8,0,1.217296e+02,3.058497e+01,85,4
9,0,1.215856e+02,3.059554e+01,71,5
10,0,1.216137e+02,3.060901e+01,73,6
11,0,1.216188e+02,3.060958e+01,74,6
12,0,1.216248e+02,3.061002e+01,75,6
13,0,1.216035e+02,3.061459e+01,72,7
14,0,1.216063e+02,3.061371e+01,73,7
15,0,1.216212e+02,3.061176e+01,74,7
16,7.236027e+02,1.216275e+02,3.061316e+01,75,7
17,0,1.212815e+02,3.068595e+01,41,14
18,0,1.212838e+02,3.068394e+01,42,14
19,0,1.214223e+02,3.068310e+01,55,14
20,0,1.212672e+02,3.069303e+01,40,15
21,0,1.212761e+02,3.069287e+01,41,15
22,0,1.212858e+02,3.069069e+01,42,15
23,0,1.212925e+02,3.069150e+01,43,15
24,0,1.214152e+02,3.069225e+01,54,15
25,0,1.214203e+02,3.069147e+01,55,15
26,1.125865e+03,1.212679e+02,3.069973e+01,40,16
27,1.125865e+03,1.212765e+02,3.069965e+01,41,16
28,1.125865e+03,1.212867e+02,3.070002e+01,42,16
29,0,1.212972e+02,3.070090e+01,43,16
30,0,1.213081e+02,3.070071e+01,44,16
31,0,1.213182e+02,3.070005e+01,45,16
32,0,1.213282e+02,3.070064e+01,46,16
33,0,1.213344e+02,3.070254e+01,47,16
34,0,1.214172e+02,3.069384e+01,54,16
35,0,1.214183e+02,3.069378e+01,55,16
36,1.125865e+03,1.212677e+02,3.070886e+01,40,17
37,1.125865e+03,1.212766e+02,3.070866e+01,41,17
38,1.125865e+03,1.212871e+02,3.070856e+01,42,17
39,1.125865e+03,1.212975e+02,3.070846e+01,43,17
40,4.685387e+03,1.213079e+02,3.070835e+01,44,17
41,8.282023e+03,1.213184e+02,3.070825e+01,45,17
42,8.439280e+03,1.213288e+02,3.070815e+01,46,17
43,8.439280e+03,1.213390e+02,3.070935e+01,47,17
44,0,1.213457e+02,3.071153e+01,48,17
45,0,1.214024e+02,3.070597e+01,53,17
46,1.125865e+03,1.212672e+02,3.071792e+01,40,18
47,1.125865e+03,1.212768e+02,3.071768e+01,41,18
48,1.125865e+03,1.212872e+02,3.071758e+01,42,18
49,1.125865e+03,1.212976e+02,3.071747e+01,43,18
50,1.125865e+03,1.213081e+02,3.071737e+01,44,18
51,5.020326e+03,1.213185e+02,3.071726e+01,45,18
52,8.439280e+03,1.213289e+02,3.071716e+01,46,18
53,8.439280e+03,1.213394e+02,3.071705e+01,47,18
54,0,1.213484e+02,3.071767e+01,48,18
55,0,1.212609e+02,3.072964e+01,39,19
56,1.124548e+03,1.212665e+02,3.072686e+01,40,19
57,1.125865e+03,1.212769e+02,3.072670e+01,41,19
58,1.125865e+03,1.212873e+02,3.072660e+01,42,19
59,1.125865e+03,1.212978e+02,3.072649e+01,43,19
60,1.125865e+03,1.213082e+02,3.072639e+01,44,19
61,5.020326e+03,1.213186e+02,3.072628e+01,45,19
62,8.439280e+03,1.213291e+02,3.072617e+01,46,19
63,8.439281e+03,1.213395e+02,3.072607e+01,47,19
64,8.439280e+03,1.213499e+02,3.072597e+01,48,19
65,0,1.213594e+02,3.072746e+01,49,19
66,0,1.213661e+02,3.072976e+01,50,19
67,0,1.212600e+02,3.073681e+01,39,20
68,1.124548e+03,1.212666e+02,3.073582e+01,40,20
69,1.125865e+03,1.212770e+02,3.073572e+01,41,20
70,1.125865e+03,1.212874e+02,3.073561e+01,42,20
71,1.125865e+03,1.212979e+02,3.073551e+01,43,20
72,1.125865e+03,1.213083e+02,3.073540e+01,44,20
73,2.929823e+03,1.213188e+02,3.073530e+01,45,20
74,5.140022e+03,1.213292e+02,3.073519e+01,46,20
75,4.433739e+03,1.213396e+02,3.073508e+01,47,20
76,7.520784e+03,1.213501e+02,3.073498e+01,48,20
77,8.439280e+03,1.213605e+02,3.073487e+01,49,20
78,0,1.213691e+02,3.073562e+01,50,20
79,0,1.212503e+02,3.074901e+01,38,21
80,8.846126e+02,1.212576e+02,3.074576e+01,39,21
81,1.115435e+03,1.212667e+02,3.074484e+01,40,21
82,1.125865e+03,1.212771e+02,3.074473e+01,41,21
83,1.125865e+03,1.212876e+02,3.074463e+01,42,21
84,1.125865e+03,1.212980e+02,3.074453e+01,43,21
85,1.125865e+03,1.213084e+02,3.074442e+01,44,21
86,1.125865e+03,1.213189e+02,3.074432e+01,45,21
87,1.125865e+03,1.213293e+02,3.074421e+01,46,21
88,1.592244e+03,1.213398e+02,3.074410e+01,47,21
89,3.927992e+03,1.213502e+02,3.074399e+01,48,21
90,3.411020e+03,1.213606e+02,3.074388e+01,49,21
91,2.187903e+03,1.213711e+02,3.074379e+01,50,21
92,0,1.213793e+02,3.074539e+01,51,21
93,0,1.213882e+02,3.074773e+01,52,21
94,0,1.212374e+02,3.075707e+01,37,22
95,0,1.212465e+02,3.075481e+01,38,22
96,1.125865e+03,1.212564e+02,3.075396e+01,39,22
97,1.125865e+03,1.212668e+02,3.075385e+01,40,22
98,1.125865e+03,1.212772e+02,3.075375e+01,41,22
99,1.125865e+03,1.212877e+02,3.075365e+01,42,22
100,1.125865e+03,1.212981e+02,3.075354e+01,43,22
101,1.125865e+03,1.213086e+02,3.075344e+01,44,22
102,1.343050e+03,1.213190e+02,3.075333e+01,45,22
103,1.445424e+03,1.213294e+02,3.075323e+01,46,22
104,2.084881e+03,1.213399e+02,3.075312e+01,47,22
105,2.187903e+03,1.213503e+02,3.075301e+01,48,22
106,2.187903e+03,1.213608e+02,3.075290e+01,49,22
107,2.187903e+03,1.213712e+02,3.075279e+01,50,22
108,0,1.213816e+02,3.075268e+01,51,22
109,0,1.213909e+02,3.075351e+01,52,22
110,0,1.213977e+02,3.075669e+01,53,22
111,0,1.212270e+02,3.076452e+01,36,23
112,1.125865e+03,1.212356e+02,3.076318e+01,37,23
113,1.125865e+03,1.212460e+02,3.076307e+01,38,23
114,1.125865e+03,1.212565e+02,3.076297e+01,39,23
115,1.125865e+03,1.212669e+02,3.076287e+01,40,23
116,1.125865e+03,1.212774e+02,3.076277e+01,41,23
117,1.125865e+03,1.212878e+02,3.076267e+01,42,23
118,1.125865e+03,1.212982e+02,3.076256e+01,43,23
119,1.125865e+03,1.213087e+02,3.076246e+01,44,23
120,2.187903e+03,1.213191e+02,3.076235e+01,45,23
121,2.187903e+03,1.213296e+02,3.076224e+01,46,23
122,2.187903e+03,1.213400e+02,3.076214e+01,47,23
123,2.187903e+03,1.213504e+02,3.076203e+01,48,23
124,2.187903e+03,1.213609e+02,3.076192e+01,49,23
125,2.187903e+03,1.213713e+02,3.076181e+01,50,23
126,2.187903e+03,1.213818e+02,3.076170e+01,51,23
127,1.015582e+03,1.213922e+02,3.076159e+01,52,23
128,0,1.214013e+02,3.076276e+01,53,23
129,0,1.214096e+02,3.076508e+01,54,23
130,0,1.212195e+02,3.077451e+01,35,24
131,8.620319e+02,1.212253e+02,3.077231e+01,36,24
132,1.125865e+03,1.212357e+02,3.077219e+01,37,24
133,1.125865e+03,1.212461e+02,3.077209e+01,38,24
134,1.125865e+03,1.212566e+02,3.077199e+01,39,24
135,1.125865e+03,1.212670e+02,3.077189e+01,40,24
136,1.124240e+03,1.212775e+02,3.077179e+01,41,24
137,1.092864e+03,1.212879e+02,3.077168e+01,42,24
138,1.087335e+03,1.212984e+02,3.077158e+01,43,24
139,1.919024e+03,1.213088e+02,3.077147e+01,44,24
140,2.187903e+03,1.213192e+02,3.077137e+01,45,24
141,2.187903e+03,1.213297e+02,3.077126e+01,46,24
142,2.187903e+03,1.213401e+02,3.077115e+01,47,24
143,2.187903e+03,1.213506e+02,3.077105e+01,48,24
144,2.187903e+03,1.213610e+02,3.077094e+01,49,24
145,1.887179e+03,1.213715e+02,3.077083e+01,50,24
146,1.103613e+03,1.213819e+02,3.077072e+01,51,24
147,1.015582e+03,1.213923e+02,3.077060e+01,52,24
148,1.015582e+03,1.214028e+02,3.077049e+01,53,24
149,1.015582e+03,1.214124e+02,3.077082e+01,54,24
150,0,1.214260e+02,3.077249e+01,55,24
151,0,1.214329e+02,3.077302e+01,56,24
152,0,1.214401e+02,3.077428e+01,57,24
153,0,1.211246e+02,3.078533e+01,26,25
154,0,1.211313e+02,3.078443e+01,27,25
155,0,1.211420e+02,3.078492e+01,28,25
156,0,1.211524e+02,3.078454e+01,29,25
157,0,1.211630e+02,3.078403e+01,30,25
158,9.539814e+02,1.211733e+02,3.078278e+01,31,25
159,0,1.211830e+02,3.078383e+01,32,25
160,0,1.211937e+02,3.078467e+01,33,25
161,0,1.212047e+02,3.078477e+01,34,25
162,1.013860e+03,1.212160e+02,3.078248e+01,35,25
163,1.085637e+03,1.212254e+02,3.078131e+01,36,25
164,1.125865e+03,1.212358e+02,3.078121e+01,37,25
165,1.125865e+03,1.212463e+02,3.078111e+01,38,25
166,1.125865e+03,1.212567e+02,3.078101e+01,39,25
167,1.118520e+03,1.212671e+02,3.078091e+01,40,25
168,1.079391e+03,1.212776e+02,3.078080e+01,41,25
169,1.012057e+03,1.212880e+02,3.078070e+01,42,25
170,1.010756e+03,1.212985e+02,3.078060e+01,43,25
171,1.830895e+03,1.213089e+02,3.078049e+01,44,25
172,2.187903e+03,1.213194e+02,3.078039e+01,45,25
173,2.187903e+03,1.213298e+02,3.078028e+01,46,25
174,2.187903e+03,1.213403e+02,3.078017e+01,47,25
175,2.187903e+03,1.213507e+02,3.078006e+01,48,25
176,2.187903e+03,1.213611e+02,3.077995e+01,49,25
177,1.607803e+03,1.213716e+02,3.077984e+01,50,25
178,1.015582e+03,1.213820e+02,3.077973e+01,51,25
179,1.015582e+03,1.213925e+02,3.077962e+01,52,25
180,1.015582e+03,1.214029e+02,3.077951e+01,53,25
181,1.015582e+03,1.214134e+02,3.077940e+01,54,25
182,1.015582e+03,1.214238e+02,3.077935e+01,55,25
183,1.015582e+03,1.214342e+02,3.077917e+01,56,25
184,1.015582e+03,1.214443e+02,3.077957e+01,57,25
185,8.779451e+02,1.214542e+02,3.078144e+01,58,25
186,0,1.214618e+02,3.078290e+01,59,25
187,1.191027e+03,1.211218e+02,3.079165e+01,26,26
188,1.258844e+03,1.211315e+02,3.079118e+01,27,26
189,1.335564e+03,1.211419e+02,3.079109e+01,28,26
190,1.361242e+03,1.211524e+02,3.079100e+01,29,26
191,1.361242e+03,1.211628e+02,3.079090e+01,30,26
192,1.361242e+03,1.211733e+02,3.079081e+01,31,26
193,1.361242e+03,1.211837e+02,3.079071e+01,32,26
194,1.361242e+03,1.211941e+02,3.079062e+01,33,26
195,1.361242e+03,1.212046e+02,3.079052e+01,34,26
196,1.125865e+03,1.212150e+02,3.079042e+01,35,26
197,1.125865e+03,1.212255e+02,3.079033e+01,36,26
198,1.125865e+03,1.212359e+02,3.079023e+01,37,26
199,1.121825e+03,1.212464e+02,3.079013e+01,38,26
200,1.110234e+03,1.212568e+02,3.079003e+01,39,26
201,1.089818e+03,1.212673e+02,3.078992e+01,40,26
202,1.010756e+03,1.212777e+02,3.078982e+01,41,26
203,1.010756e+03,1.212882e+02,3.078972e+01,42,26
204,1.010756e+03,1.212986e+02,3.078961e+01,43,26
205,1.644082e+03,1.213090e+02,3.078951e+01,44,26
206,2.187903e+03,1.213195e+02,3.078940e+01,45,26
207,2.187903e+03,1.213299e+02,3.078930e+01,46,26
208,2.187903e+03,1.213404e+02,3.078919e+01,47,26
209,2.187903e+03,1.213508e+02,3.078908e+01,48,26
210,2.187903e+03,1.213613e+02,3.078897e+01,49,26
211,1.259471e+03,1.213717e+02,3.078886e+01,50,26
212,1.015582e+03,1.213822e+02,3.078875e+01,51,26
